Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Allan, R ",0,male,36,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Anderson, W ",0,male,48,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barlow, G ",0,male,36,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Beedman, G ",0,male,34,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bishop, W ",0,male,34,"Itchen, Hampshire",Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bogie, L ",0,male,29,Eastleigh,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bond, W ",0,male,40,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Boothby, W ",0,male,36,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Brewster, G. H ",0,male,48,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Byrne, J ",0,male,31,"Illford, Essex",Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Clark, T ",0,male,,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Crawford, Alfred",1,male,36,Southampton,Bedroom steward,,,,8,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Crumplin, C ",0,male,35,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cullen, C ",1,male,45,Liverpool,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cunningham, Andrew",1,male,35,Southampton,Bedroom steward,,,,4,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Davies, Gordon",0,male,33,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Donoghue, F ",0,male,35,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Etches, Henry Samuel",1,male,41,Southampton,Bedroom steward,,,,5,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Faulkner, William",1,male,37,Southampton,Bedroom steward,,,,11,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ford, F ",0,male,37,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Geddes, R ",0,male,31,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Gill, S ",0,male,34,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hamblyn, Ernest William",0,male,41,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hayter, A ",0,male,44,Southampton,Bedroom steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
