,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
91,,"Jouanmault, G ",0.0,male,24.0,Southampton,Assistant sauce, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
92,,"Berthold, Florentini",0.0,male,,London,Assistant scullery man, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
93,,"Hughes, H ",0.0,male,33.0,Southampton,Assistant second steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
94,,"Wheat, Joseph Thomas",1.0,male,,Southampton,Assistant second steward,,,,11,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
95,,"Johnson, H. ",0.0,male,25.0,Southampton,Assistant ship's cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
96,,"Vilvarlarge, P ",0.0,male,19.0,"Rue National-Ambroise, France",Assistant soup, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,47.41249999999999,0.9838889
97,,"Andrews, Charles E ",1.0,male,19.0,Southampton,Assistant steward,,,,16,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
98,,"Christmas, H ",0.0,male,33.0,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
99,,"Dean, G ",0.0,male,19.0,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
100,,"Gunn, J ",0.0,male,28.0,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
101,,"Humphreys, H ",0.0,male,31.0,Dolgelly,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,52.74215,-3.884399999999999
102,,"Kerley, W. T ",0.0,male,28.0,"Bowerthalk, Salisbury",Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
103,,"Lacey, Bert W ",0.0,male,21.0,Salisbury,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.068785,-1.794472
104,,"Nichols, W. K ",1.0,male,35.0,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
105,,"Owens, L ",0.0,male,29.0,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
106,,"Penny, W ",0.0,male,30.0,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
107,,"Robertson, G ",0.0,male,,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
108,,"Terrell, F.",1.0,male,,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
109,,"Williams, W ",0.0,male,,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
110,,"Wood, J. T ",0.0,male,40.0,London,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
111,,"Kieran, M ",0.0,male,31.0,Southampton,Assistant storekeeper,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
